Country,Month,avg(AverageTemperature),avg(AverageTemperatureUncertainty)
Afghanistan,1,1.4907,0.5155
Afghanistan,2,3.680838709677419,0.5390967741935485
Afghanistan,3,9.275645161290322,0.42087096774193544
Afghanistan,4,15.433612903225807,0.41329032258064513
Afghanistan,5,21.15522580645161,0.4093225806451613
Afghanistan,6,25.777709677419352,0.4203225806451613
Afghanistan,7,27.637322580645165,0.41003225806451626
Afghanistan,8,26.12467741935484,0.3848064516129032
Afghanistan,9,21.301129032258064,0.39916129032258074
Afghanistan,10,14.859612903225807,0.4230322580645161
Afghanistan,11,9.024548387096774,0.4293548387096774
Afghanistan,12,3.471677419354839,0.4718064516129031
Africa,1,21.33453333333333,0.2016666666666667
Africa,2,22.835806451612903,0.19358064516129037
Africa,3,24.634870967741936,0.1781935483870967
Africa,4,25.764612903225807,0.1817741935483871
Africa,5,26.401032258064518,0.1998709677419355
Africa,6,26.182,0.20916129032258066
Africa,7,25.78970967741935,0.2093548387096774
Africa,8,26.04138709677419,0.19712903225806447
Africa,9,26.354806451612905,0.18280645161290315
Africa,10,25.537419354838715,0.17248387096774195
Africa,11,23.77696774193548,0.16638709677419355
Africa,12,21.744,0.1889354838709677
Albania,1,3.8684333333333343,0.4880999999999999
Albania,2,4.739967741935483,0.33338709677419354
Albania,3,8.000419354838709,0.23825806451612905
Albania,4,11.684419354838708,0.27203225806451614
Albania,5,16.636709677419358,0.2708387096774193
Albania,6,20.648709677419358,0.33722580645161293
Albania,7,23.24477419354839,0.3512903225806452
Albania,8,23.107451612903226,0.3127096774193549
Albania,9,18.940354838709684,0.29829032258064514
Albania,10,14.068935483870966,0.27987096774193554
Albania,11,9.078483870967743,0.2991935483870968
Albania,12,4.998774193548388,0.39567741935483874
Algeria,1,12.264766666666668,0.3592
Algeria,2,14.991064516129033,0.3389354838709677
Algeria,3,19.213354838709673,0.3086774193548387
Algeria,4,23.535129032258066,0.32958064516129026
Algeria,5,28.228935483870966,0.3661935483870967
Algeria,6,32.5675806451613,0.4036129032258064
Algeria,7,34.59312903225806,0.40051612903225803
Algeria,8,33.971000000000004,0.37925806451612915
Algeria,9,30.573451612903227,0.3770322580645162
Algeria,10,24.785774193548384,0.33887096774193554
Algeria,11,18.351064516129032,0.3528064516129032
Algeria,12,13.429,0.34003225806451615
American Samoa,1,27.315433333333335,0.38233333333333325
American Samoa,2,27.508193548387098,0.38361290322580643
American Samoa,3,27.640870967741943,0.41729032258064513
American Samoa,4,27.468612903225804,0.4269032258064516
American Samoa,5,27.346064516129033,0.42735483870967744
American Samoa,6,26.995903225806455,0.43196774193548376
American Samoa,7,26.612161290322586,0.4716129032258064
American Samoa,8,26.580806451612908,0.3892258064516129
American Samoa,9,26.772677419354842,0.37596774193548393
American Samoa,10,26.742483870967742,0.379741935483871
