Country,Month,avg(Confirmed),avg(Deaths),avg(Recovered)
Australia,1,3419.403846153846,108.38076923076923,2704.4615384615386
Australia,2,2313.36,72.72,1829.4485714285715
Australia,3,1867.3339960238568,56.40357852882704,1419.741550695825
Australia,4,2236.5666666666666,60.6375,1627.00625
Australia,5,1050.3295454545455,18.526515151515152,917.1325757575758
Australia,6,927.5458333333333,12.8125,854.5833333333334
Australia,7,1458.5604838709678,16.112903225806452,1033.6048387096773
Australia,8,2867.3024193548385,52.443548387096776,1538.850806451613
Australia,9,3337.079166666667,101.97916666666667,2561.920833333333
Australia,10,3420.8225806451615,112.6975806451613,2741.564516129032
Australia,11,3468.8083333333334,113.38333333333334,2790.6833333333334
Australia,12,3516.314516129032,113.52016129032258,2812.4112903225805
Austria,2,2.0,0.0,0.0
Belgium,1,56407.416666666664,1697.997311827957,0.0
Belgium,2,61707.46130952381,1804.8005952380952,0.0
Belgium,3,68337.73387096774,1878.725806451613,0.0
Belgium,4,78353.61666666667,1970.4277777777777,0.0
Belgium,5,82874.83333333333,2022.875,0.0
Belgium,11,46096.22368421053,1284.517543859649,0.0
Belgium,12,51199.68548387097,1519.0376344086021,0.0
Brazil,1,312051.54360812425,7746.339307048985,277096.16367980884
Brazil,2,365682.67195767193,8880.082010582011,326053.88624338625
Brazil,3,431373.5531660693,10545.41816009558,380612.62126642774
Brazil,4,509339.64814814815,13521.4987654321,448364.2518518519
Brazil,5,87740.21538461538,2833.517948717949,71875.93076923076
Brazil,6,34428.70624235006,1656.5703794369645,18121.772337821298
Brazil,7,74840.93787335722,2832.109916367981,52532.83512544803
Brazil,8,122943.7228195938,3996.8996415770607,98430.78733572282
Brazil,9,163036.99012345678,4943.644444444444,141484.82716049382
Brazil,10,192343.53524492233,5654.467144563919,168882.8458781362
Brazil,11,218317.8037037037,6155.9493827160495,197005.2024691358
Brazil,12,260752.37395459975,6813.0800477897255,231761.48984468338
Canada,1,42813.10079051383,1100.2727272727273,37411.53162055336
Canada,2,43597.21722846442,1113.0355805243446,40489.51872659176
Canada,3,36215.89533417402,880.7238335435056,33947.43757881463
Canada,4,36428.09594882729,810.3326226012794,32653.898720682304
Canada,5,9501.0,484.6392156862745,6698.794117647059
Canada,6,6718.113585746102,565.9265033407572,4059.9398663697107
Canada,7,7441.258064516129,594.2838709677419,5713.101075268817
Canada,8,8288.281720430108,607.2258064516129,7319.339784946236
Canada,9,9535.31111111111,617.9644444444444,8321.924444444445
Canada,10,13174.658064516128,656.0021505376344,11084.821505376343
Canada,11,20002.908096280087,733.5645514223195,16204.343544857767
Canada,12,30305.1814516129,871.75,24898.836693548386
Chile,1,39206.662239089186,1026.4478178368122,36808.15559772296
Chile,2,45701.857142857145,1148.6596638655462,43216.836134453784
Chile,3,53248.85578747628,1283.4857685009488,49972.229601518025
Chile,4,64950.2862745098,1460.0509803921568,60921.10588235294
Chile,5,13985.710084033613,262.4579831932773,11167.73949579832
Chile,6,11385.543137254903,198.85882352941175,8988.682352941176
Chile,7,18944.5559772296,453.66603415559774,17166.44781783681
Chile,8,22649.04933586338,614.392789373814,21074.483870967742
Chile,9,25778.67450980392,708.9862745098039,24193.550980392156
Chile,10,28718.70588235294,795.5351043643263,27157.318785578747
Chile,11,31265.082352941175,871.8529411764706,29841.566666666666
Chile,12,34038.12903225807,940.8462998102467,32394.607210626185
China,1,0.0,0.0,0.0
China,2,0.0,0.0,0.0
China,3,0.0,0.0,0.0
Colombia,1,55383.81973434535,1424.2096774193549,50559.34914611006
Colombia,2,64449.77731092437,1689.7153361344538,61043.79726890756
Colombia,3,68180.02561669829,1808.6337760910817,65092.80929791271
Colombia,4,77027.34019607842,1995.306862745098,72234.84215686274
Colombia,5,30439.901554404147,787.3782383419689,28050.668393782384
Colombia,6,1676.508390918065,57.31589338598223,660.426456071076
Colombia,7,5311.297912713472,186.8292220113852,2468.2637571157497
Colombia,8,13944.510164569216,451.2371732817038,8884.465634075508
Colombia,9,21921.158,696.562,18110.915
Colombia,10,27857.407020872866,843.6783681214421,24012.099620493358
Colombia,11,35287.086274509806,1003.9127450980392,32291.764705882353
Colombia,12,43243.64990512334,1170.4136622390893,39649.29506641366
Denmark,1,336.8225806451613,0.41935483870967744,322.7741935483871
Denmark,2,343.42857142857144,0.5,341.67857142857144
Denmark,3,313.5327102803738,0.6822429906542056,204.18691588785046
Denmark,4,221.95,0.25,212.85
Denmark,5,114.25757575757575,0.030303030303030304,113.75757575757575
Denmark,6,100.0,0.0,99.9
Denmark,7,103.93548387096774,0.0,100.41935483870968
Denmark,8,179.32258064516128,0.0,136.96774193548387
Denmark,9,222.81666666666666,0.0,210.53333333333333
Denmark,10,249.3709677419355,0.0,239.30645161290323
Denmark,11,257.78333333333336,0.0,255.88333333333333
Denmark,12,280.5806451612903,0.0,266.51612903225805
France,1,5939.607669616519,46.89085545722714,2773.0737463126843
France,2,6977.909090909091,50.98051948051948,2900.3863636363635
France,3,5677.310756972111,47.44820717131474,2163.735059760956
France,4,4825.47284345048,39.66613418530351,1884.7987220447285
France,5,866.3765060240963,9.590361445783133,428.55120481927713
France,6,505.50666666666666,6.613333333333333,343.16
France,7,1024.9548387096775,10.274193548387096,736.0967741935484
France,8,1400.125806451613,13.087096774193549,1193.2193548387097
France,9,2152.3,17.246666666666666,1612.98
France,10,3295.0032258064516,27.20967741935484,2261.0774193548386
France,11,4811.983333333334,39.20333333333333,2677.1966666666667
France,12,5723.622580645161,46.78387096774193,2909.5032258064516
Germany,1,117806.9209039548,2689.393596986817,98335.70809792844
Germany,2,137942.55252100842,3833.0105042016808,125518.5231092437
Germany,3,154227.48197343454,4344.208728652751,140712.34724857684
Germany,4,183358.98039215687,4688.225490196079,162650.58823529413
Germany,5,29662.63529411765,925.1058823529412,26276.602941176472
Germany,6,11119.141176470588,518.1980392156863,10156.439215686274
Germany,7,11888.195445920304,534.079696394687,10948.776091081594
Germany,8,13329.66413662239,543.1688804554079,11938.920303605313
Germany,9,15732.394117647058,551.8725490196078,13920.93725490196
Germany,10,22155.86907020873,578.1138519924099,17343.434535104363
Germany,11,48180.53921568627,771.1490196078431,31306.5568627451
Germany,12,83760.30929791271,1448.5294117647059,62331.055028463
Hong Kong,1,7267.414634146341,123.39024390243902,6560.4390243902435
Hong Kong,2,5313.649122807017,95.12280701754386,4980.210526315789
Hong Kong,3,5765.370967741936,103.16129032258064,5442.096774193548
Hong Kong,4,6308.133333333333,105.81666666666666,5867.383333333333
Hong Kong,5,1704.7878787878788,16.484848484848484,1623.3333333333333
Hong Kong,6,1133.3333333333333,4.833333333333333,1067.8
Hong Kong,7,1848.967741935484,11.96774193548387,1296.6451612903227
Hong Kong,8,4329.709677419355,64.83870967741936,3366.5806451612902
Hong Kong,9,4968.833333333333,100.5,4638.866666666667
Hong Kong,10,5220.1612903225805,105.0,4960.806451612903
Hong Kong,11,5579.233333333334,107.56666666666666,5207.5
Hong Kong,12,7741.193548387097,124.58064516129032,6480.8387096774195
India,1,285012.08108108107,4109.950305143853,275362.9694856146
India,2,295351.8243243243,4210.6167953667955,287147.94498069497
India,3,311671.3626852659,4307.991281604185,299330.320836966
India,4,403241.97567567567,4855.156756756757,350630.1783783784
India,5,528579.9189189189,5825.459459459459,432223.54054054053
India,6,11607.619047619048,357.8888888888889,6435.712962962963
India,7,29268.897321428572,724.8098214285715,18469.899107142857
India,8,72131.46643417611,1379.382737576286,52586.59285091543
India,9,136622.85315315315,2230.3693693693695,108961.22612612613
India,10,199332.40453356583,3034.7820401046206,175269.81952920664
India,11,239490.44144144145,3522.2153153153154,223068.4009009009
India,12,268513.9110723627,3895.810810810811,255636.22929380994
Iraq,2,0.0,0.0,0.0
Israel,2,1.0,0.0,0.0
Italy,1,112008.10599078341,3889.0783410138247,82609.70353302611
Italy,2,129982.70238095238,4459.278911564626,106118.42517006803
Italy,3,155396.1797235023,4917.05069124424,125684.17050691244
Italy,4,182221.36825396825,5511.71746031746,152584.2396825397
Italy,5,29035.347619047618,1971.4690476190476,22500.32380952381
Italy,6,11294.019047619047,1633.0809523809523,8388.844444444445
Italy,7,11614.047619047618,1666.5545314900153,9321.030721966206
Italy,8,12165.31797235023,1682.251920122888,9708.019969278033
