Country,Year,Month,MonthlyNewCases,MonthlyNewDeaths,Percent
Afghanistan,2020,4,1952.0,60.0,3.074
Afghanistan,2020,5,13081.0,194.0,1.483
Afghanistan,2020,6,16299.0,494.0,3.031
Afghanistan,2020,7,5158.0,532.0,10.314
Afghanistan,2020,8,1494.0,119.0,7.965
Afghanistan,2020,9,1109.0,57.0,5.14
Afghanistan,2020,10,2157.0,78.0,3.616
Afghanistan,2020,11,4849.0,257.0,5.3
Afghanistan,2020,12,5252.0,396.0,7.54
Afghanistan,2021,1,3497.0,209.0,5.977
Afghanistan,2021,2,691.0,43.0,6.223
Afghanistan,2021,3,740.0,41.0,5.541
Afghanistan,2021,4,3291.0,141.0,4.284
Albania,2020,4,530.0,16.0,3.019
Albania,2020,5,364.0,2.0,0.549
Albania,2020,6,1398.0,29.0,2.074
Albania,2020,7,2741.0,95.0,3.466
Albania,2020,8,4237.0,127.0,2.997
Albania,2020,9,4136.0,103.0,2.49
Albania,2020,10,7226.0,122.0,1.688
Albania,2020,11,17307.0,301.0,1.739
Albania,2020,12,20134.0,371.0,1.843
Albania,2021,1,19811.0,199.0,1.004
Albania,2021,2,29040.0,416.0,1.433
Albania,2021,3,17990.0,439.0,2.44
Albania,2021,4,5928.0,159.0,2.682
Algeria,2020,4,3290.0,406.0,12.34
Algeria,2020,5,5388.0,203.0,3.768
Algeria,2020,6,4513.0,259.0,5.739
Algeria,2020,7,16487.0,298.0,1.807
Algeria,2020,8,14100.0,300.0,2.128
Algeria,2020,9,7036.0,226.0,3.212
Algeria,2020,10,6412.0,228.0,3.556
Algeria,2020,11,25257.0,467.0,1.849
Algeria,2020,12,16411.0,325.0,1.98
Algeria,2021,1,7729.0,135.0,1.747
Algeria,2021,2,5753.0,92.0,1.599
Algeria,2021,3,4100.0,110.0,2.683
Algeria,2021,4,4916.0,160.0,3.255
Andorra,2020,4,369.0,30.0,8.13
Andorra,2020,5,19.0,9.0,47.368
Andorra,2020,6,91.0,1.0,1.099
Andorra,2020,7,70.0,0.0,0.0
Andorra,2020,8,251.0,1.0,0.398
Andorra,2020,9,874.0,0.0,0.0
Andorra,2020,10,2706.0,22.0,0.813
Andorra,2020,11,1989.0,1.0,0.05
Andorra,2020,12,1304.0,8.0,0.613
Andorra,2021,1,1888.0,17.0,0.9
Andorra,2021,2,929.0,9.0,0.969
Andorra,2021,3,1144.0,5.0,0.437
Andorra,2021,4,1222.0,10.0,0.818
Angola,2020,4,20.0,0.0,0.0
Angola,2020,5,59.0,2.0,3.39
Angola,2020,6,198.0,9.0,4.545
Angola,2020,7,864.0,39.0,4.514
Angola,2020,8,1506.0,56.0,3.718
Angola,2020,9,2318.0,75.0,3.236
Angola,2020,10,5833.0,101.0,1.732
Angola,2020,11,4334.0,64.0,1.477
Angola,2020,12,2414.0,57.0,2.361
Angola,2021,1,2243.0,61.0,2.72
Angola,2021,2,1011.0,42.0,4.154
Angola,2021,3,1504.0,29.0,1.928
Angola,2021,4,4341.0,59.0,1.359
Antigua and Barbuda,2020,4,17.0,3.0,17.647
Antigua and Barbuda,2020,5,2.0,0.0,0.0
Antigua and Barbuda,2020,6,43.0,0.0,0.0
Antigua and Barbuda,2020,7,22.0,0.0,0.0
Antigua and Barbuda,2020,8,3.0,0.0,0.0
Antigua and Barbuda,2020,9,7.0,0.0,0.0
Antigua and Barbuda,2020,10,27.0,0.0,0.0
Antigua and Barbuda,2020,11,13.0,1.0,7.692
Antigua and Barbuda,2020,12,18.0,1.0,5.556
Antigua and Barbuda,2021,1,75.0,2.0,2.667
Antigua and Barbuda,2021,2,496.0,7.0,1.411
Antigua and Barbuda,2021,3,406.0,14.0,3.448
Antigua and Barbuda,2021,4,96.0,4.0,4.167
Argentina,2020,4,3374.0,191.0,5.661
Argentina,2020,5,12423.0,321.0,2.584
Argentina,2020,6,47679.0,768.0,1.611
Argentina,2020,7,126772.0,2236.0,1.764
Argentina,2020,8,226433.0,5117.0,2.26
Argentina,2020,9,333266.0,8277.0,2.484
Argentina,2020,10,415923.0,14065.0,3.382
