Province_State,Population,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,Average
Alabama,4903185,0.007301376554219349,0.0065263701043301444,0.012848791142899973,0.012277733758771085,0.007301376554219349,0.008708625107965537,0.01246128791795537,0.025473238313463598,0.0583498277140267,0.04570498563688705,0.012746816610019812,0.006975058049002842,0.018056290621980067
Alaska,740995,1.3495367715031815E-4,5.398147086012726E-4,0.0012145830943528634,0.001889351480104454,0.002564119865856045,0.0035087956059082722,0.005398147086012726,0.011336108880626725,0.007557405920417816,0.003778702960208908,0.0031039345744573177,0.004588425023110817,0.0038011952397339617
Arizona,7278717,0.008064608089585019,0.010139149523192068,0.028150565546098304,0.01834114446268484,0.008531723379271374,0.004520027361965028,0.009067532093911606,0.030568574104474732,0.05847184332073908,0.03929263907361696,0.013560082085895084,0.004904710541706732,0.0194677166319284
Arkansas,3017804,0.0023858408299544964,0.004539724912552306,0.0060640121094676785,0.011399017298671484,0.018954179926860725,0.018423993075759725,0.019119863317829788,0.03890246019953582,0.03949892040702445,0.01242625432267967,0.01269134774823017,0.0037444446359008073,0.015679171565372258
California,39512223,0.005408452974159414,0.00482888548184191,0.007992463496675447,0.009690672175038089,0.007293945471000202,0.0045428980293009584,0.003973453986630922,0.017270605098579243,0.038162874308539915,0.02941874467554002,0.016296223070010513,0.007096538202874589,0.012664646414182601
Colorado,5758736,0.011599767726806716,0.004254405827945577,0.0025700084185140627,0.0018580466268986805,0.0018406817051519638,0.0040633916887316945,0.013058421153530914,0.03085746594391547,0.014343425362787945,0.0054004906632288754,0.002708927792487796,0.0032646052883827286,0.007984969849865202
Connecticut,3565287,0.04731736884015228,0.010602232022274786,0.0030853056149476882,9.255916844843066E-4,0.0012060740131159145,0.003029209149221367,0.011331486076716964,0.02734702704158179,0.029478692739182008,0.016155782129180625,0.0074888781744639355,0.0058340324355374475,0.013650139993404926
Delaware,973764,0.029267871886822682,0.0070859058252307535,0.0032862171943099146,0.001951191459121512,0.0035943000562764695,0.008523625847741342,0.008729014422385712,0.024749323244646546,0.025057406106613105,0.012015231616695626,0.014069117363139323,0.006777822963264199,0.012092252332187267
District of Columbia,705749,0.03428981125017535,0.012043941968036796,0.0048175767872147175,0.003117255568197758,0.002833868698361599,0.002692175263443519,0.0048175767872147175,0.015019504101316472,0.017995066234596152,0.014736117231480314,0.006659591441149757,0.0058094308316412775,0.010402659680235703
Florida,21477737,0.005508029081462353,0.004907407144430533,0.015541674618699354,0.020225594530745954,0.014573229945035645,0.011379224915548597,0.008548386638685445,0.014321806808603718,0.02237665914244131,0.020360618066977913,0.011979846852580418,0.008082788237885583,0.013150438831924736
Georgia,10617423,0.008674421279061782,0.007082697939038502,0.008919301792911519,0.01771616332889817,0.01307285204705511,0.009022905087232561,0.013873422957717707,0.013958189289434923,0.030741922969443714,0.029169036592024262,0.016576527091366706,0.010689976277671145,0.01495811805432134
