SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
2379,02/25/2020,None,Austria,2020-02-25T18:55:32,2,0,0
2477,02/26/2020,,Austria,2020-02-26T00:13:06,2,0,0
2577,02/27/2020,,Austria,2020-02-27T14:03:03,3,0,0
2687,02/28/2020,,Austria,2020-02-27T14:03:03,3,0,0
2794,02/29/2020,,Austria,2020-02-29T14:43:03,9,0,0
2910,03/01/2020,,Austria,2020-03-01T23:33:03,14,0,0
3034,03/02/2020,,Austria,2020-03-02T21:23:04,18,0,0
3177,03/03/2020,,Austria,2020-03-03T15:13:26,21,0,0
3330,03/04/2020,,Austria,2020-03-04T19:33:03,29,0,0
3491,03/05/2020,,Austria,2020-03-05T17:53:02,41,0,0
3662,03/06/2020,,Austria,2020-03-06T16:33:04,55,0,0
3857,03/07/2020,,Austria,2020-03-07T17:53:03,79,0,0
4080,03/08/2020,,Austria,2020-03-08T09:13:14,104,0,0
4333,03/09/2020,,Austria,2020-03-09T18:33:03,131,0,2
4596,03/10/2020,,Austria,2020-03-10T16:13:16,182,0,4
4803,03/11/2020,,Austria,2020-03-11T22:33:03,246,0,4
5018,03/12/2020,,Austria,2020-03-12T11:13:29,302,1,4
5272,03/13/2020,,Austria,2020-03-11T20:00:00,504,1,6
5459,03/14/2020,,Austria,2020-03-14T16:13:55,655,1,6
5706,03/15/2020,,Austria,2020-03-15T18:20:18,860,1,6
5961,03/16/2020,,Austria,2020-03-16T15:13:09,1018,3,6
6231,03/17/2020,,Austria,2020-03-17T15:33:06,1332,3,1
6506,03/18/2020,,Austria,2020-03-18T14:53:05,1646,4,9
6791,03/19/2020,,Austria,2020-03-19T14:53:05,2013,6,9
7084,03/20/2020,,Austria,2020-03-20T15:43:24,2388,6,9
7385,03/21/2020,,Austria,2020-03-21T14:43:03,2814,8,9
7686,03/22/2020,,Austria,3/8/20 5:31,3580,16,9
7988,03/23/2020,,Austria,2020-03-23 23:23:20,4474,21,9
8286,03/24/2020,,Austria,2020-03-24 23:41:50,5283,28,9
8588,03/25/2020,,Austria,2020-03-25 23:37:49,5588,30,9
8894,03/26/2020,,Austria,2020-03-26 23:53:24,6909,49,112
9204,03/27/2020,,Austria,2020-03-27 23:27:48,7657,58,225
9515,03/28/2020,,Austria,3/8/20 5:31,8271,68,225
9830,03/29/2020,,Austria,3/8/20 5:31,8788,86,479
10145,03/30/2020,,Austria,3/8/20 5:31,9618,108,636
10461,03/31/2020,,Austria,2020-03-31 23:49:27,10180,128,1095
10778,04/01/2020,,Austria,2020-04-01 22:04:58,10711,146,1436
11095,04/02/2020,,Austria,4/2/20 8:53,11129,158,1749
11414,04/03/2020,,Austria,2020-04-03 22:52:45,11524,168,2022
11733,04/04/2020,,Austria,4/4/20 9:38,11781,186,2507
12053,04/05/2020,,Austria,2020-04-05 23:13:44,12051,204,2998
12375,04/06/2020,,Austria,4/6/20 9:37,12297,220,3463
12698,04/07/2020,,Austria,2020-04-07 23:11:31,12639,243,4046
13021,04/08/2020,,Austria,2020-04-08 22:59:00,12942,273,4512
13344,04/09/2020,,Austria,2020-04-09 23:09:19,13244,295,5240
13667,04/10/2020,,Austria,2020-04-10 23:01:43,13555,319,6064
13991,04/11/2020,,Austria,2020-04-11 22:52:46,13806,337,6604
14315,04/12/2020,,Austria,2020-04-12 23:25:00,13945,350,6987
14638,04/13/2020,,Austria,2020-04-13 23:15:42,14041,368,7343
14961,04/14/2020,,Austria,2020-04-14 23:41:11,14226,384,7633
15284,04/15/2020,,Austria,2020-04-15 23:04:26,14336,393,8098
15607,04/16/2020,,Austria,2020-04-16 23:38:19,14476,410,8986
15930,04/17/2020,,Austria,2020-04-17 23:38:48,14595,431,9704
16253,04/18/2020,,Austria,2020-04-18 22:40:18,14671,443,10214
16576,04/19/2020,,Austria,2020-04-19 23:49:05,14749,452,10501
16899,04/20/2020,,Austria,2020-04-20 23:44:50,14795,470,10631
17222,04/21/2020,,Austria,2020-04-21 23:39:09,14873,491,10971
17545,04/22/2020,,Austria,2020-04-22 23:38:57,14925,510,11328
17867,04/23/2020,,Austria,2020-04-24 03:31:35,15002,522,11694
18190,04/24/2020,,Austria,2020-04-25 06:31:19,15071,530,11872
18510,04/25/2020,,Austria,2020-04-26 02:31:18,15148,536,12103
18830,04/26/2020,,Austria,2020-04-27 02:31:20,15225,542,12282
19150,04/27/2020,,Austria,2020-04-28 02:31:20,15274,549,12362
19474,04/28/2020,,Austria,2020-04-29 02:32:29,15357,569,12580
19798,04/29/2020,,Austria,2020-04-30 02:32:27,15402,580,12779
20122,04/30/2020,,Austria,2020-05-01 02:32:28,15452,584,12907
20448,05/01/2020,,Austria,2020-05-02 02:32:27,15531,589,13110
20774,05/02/2020,,Austria,2020-05-03 02:32:28,15558,596,13180
21100,05/03/2020,,Austria,2020-05-04 02:32:28,15597,598,13228
21426,05/04/2020,,Austria,2020-05-05 02:32:34,15621,600,13316
21752,05/05/2020,,Austria,2020-05-06 02:32:31,15650,606,13462
22078,05/06/2020,,Austria,2021-04-02 15:13:53,15684,608,13639
22404,05/07/2020,,Austria,2021-04-02 15:13:53,15752,609,13698
22730,05/08/2020,,Austria,2021-04-02 15:13:53,15774,614,13836
23056,05/09/2020,,Austria,2021-04-02 15:13:53,15833,615,13928
23382,05/10/2020,,Austria,2021-04-02 15:13:53,15871,618,13991
23708,05/11/2020,,Austria,2021-04-02 15:13:53,15882,620,14061
24034,05/12/2020,,Austria,2021-04-02 15:13:53,15961,623,14148
24360,05/13/2020,,Austria,2021-04-02 15:13:53,15997,624,14304
24687,05/14/2020,,Austria,2021-04-02 15:13:53,16058,626,14405
25067,05/15/2020,,Austria,2021-04-02 15:13:53,16109,628,14471
25447,05/16/2020,,Austria,2021-04-02 15:13:53,16201,629,14524
25827,05/17/2020,,Austria,2021-04-02 15:13:53,16242,629,14563
26207,05/18/2020,,Austria,2021-04-02 15:13:53,16269,629,14614
26587,05/19/2020,,Austria,2021-04-02 15:13:53,16321,632,14678
26968,05/20/2020,,Austria,2021-04-02 15:13:53,16353,633,14882
27423,05/21/2020,,Austria,2021-04-02 15:13:53,16404,633,14951
27878,05/22/2020,,Austria,2021-04-02 15:13:53,16436,635,15005
28333,05/23/2020,,Austria,2021-04-02 15:13:53,16486,639,15037
28788,05/24/2020,,Austria,2021-04-02 15:13:53,16503,640,15063
29243,05/25/2020,,Austria,2021-04-02 15:13:53,16539,641,15138
29698,05/26/2020,,Austria,2021-04-02 15:13:53,16557,643,15182
30153,05/27/2020,,Austria,2021-04-02 15:13:53,16591,645,15228
30608,05/28/2020,,Austria,2021-04-02 15:13:53,16628,668,15286
31164,05/29/2020,,Austria,2021-04-02 15:13:53,16655,668,15347
31721,05/30/2020,,Austria,2021-04-02 15:13:53,16685,668,15520
32279,05/31/2020,,Austria,2021-04-02 15:13:53,16731,668,15593
32837,06/01/2020,,Austria,2021-04-02 15:13:53,16733,668,15596
33504,06/02/2020,,Austria,2021-04-02 15:13:53,16759,669,15629
34170,06/03/2020,,Austria,2021-04-02 15:13:53,16771,670,15672
34837,06/04/2020,,Austria,2021-04-02 15:13:53,16805,670,15717
35504,06/05/2020,,Austria,2021-04-02 15:13:53,16843,672,15742
36191,06/06/2020,,Austria,2021-04-02 15:13:53,16898,672,15789
36878,06/07/2020,,Austria,2021-04-02 15:13:53,16902,672,15793
37565,06/08/2020,,Austria,2021-04-02 15:13:53,16968,672,15839
38252,06/09/2020,,Austria,2021-04-02 15:13:53,16979,672,15875
38939,06/10/2020,,Austria,2021-04-02 15:13:53,17005,673,15910
39667,06/11/2020,,Austria,2021-04-02 15:13:53,17034,674,15949
40399,06/12/2020,,Austria,2021-04-02 15:13:53,17064,675,15985
41131,06/13/2020,,Austria,2021-04-02 15:13:53,17078,677,16012
41863,06/14/2020,,Austria,2021-04-02 15:13:53,17109,677,16059
42595,06/15/2020,,Austria,2021-04-02 15:13:53,17135,678,16066
43327,06/16/2020,,Austria,2021-04-02 15:13:53,17189,681,16089
44059,06/17/2020,,Austria,2021-04-02 15:13:53,17203,687,16099
44791,06/18/2020,,Austria,2021-04-02 15:13:53,17223,688,16101
45523,06/19/2020,,Austria,2021-04-02 15:13:53,17271,688,16141
46255,06/20/2020,,Austria,2021-04-02 15:13:53,17323,688,16175
46987,06/21/2020,,Austria,2021-04-02 15:13:53,17341,690,16197
47719,06/22/2020,,Austria,2021-04-02 15:13:53,17380,690,16241
48451,06/23/2020,,Austria,2021-04-02 15:13:53,17408,693,16261
49183,06/24/2020,,Austria,2021-04-02 15:13:53,17449,693,16282
49915,06/25/2020,,Austria,2021-04-02 15:13:53,17477,698,16320
50647,06/26/2020,,Austria,2021-04-02 15:13:53,17522,698,16348
51379,06/27/2020,,Austria,2021-04-02 15:13:53,17580,700,16371
52111,06/28/2020,,Austria,2021-04-02 15:13:53,17654,702,16401
52843,06/29/2020,,Austria,2021-04-02 15:13:53,17723,703,16420
53575,06/30/2020,,Austria,2021-04-02 15:13:53,17766,705,16478
54307,07/01/2020,,Austria,2021-04-02 15:13:53,17873,705,16491
55039,07/02/2020,,Austria,2021-04-02 15:13:53,17941,705,16514
55771,07/03/2020,,Austria,2021-04-02 15:13:53,18050,705,16558
56503,07/04/2020,,Austria,2021-04-02 15:13:53,18165,705,16607
57235,07/05/2020,,Austria,2021-04-02 15:13:53,18280,706,16615
57967,07/06/2020,,Austria,2021-04-02 15:13:53,18365,706,16647
58699,07/07/2020,,Austria,2021-04-02 15:13:53,18421,706,16686
59431,07/08/2020,,Austria,2021-04-02 15:13:53,18513,706,16721
60163,07/09/2020,,Austria,2021-04-02 15:13:53,18615,706,16758
60895,07/10/2020,,Austria,2021-04-02 15:13:53,18709,706,16808
61627,07/11/2020,,Austria,2021-04-02 15:13:53,18783,706,16864
62359,07/12/2020,,Austria,2021-04-02 15:13:53,18897,708,16952
63091,07/13/2020,,Austria,2021-04-02 15:13:53,18948,708,17000
63823,07/14/2020,,Austria,2021-04-02 15:13:53,19021,709,17073
64555,07/15/2020,,Austria,2021-04-02 15:13:53,19154,710,17175
65287,07/16/2020,,Austria,2021-04-02 15:13:53,19270,711,17244
66019,07/17/2020,,Austria,2021-04-02 15:13:53,19439,711,17335
66763,07/18/2020,,Austria,2021-04-02 15:13:53,19573,711,17501
67508,07/19/2020,,Austria,2021-04-02 15:13:53,19655,711,17599
68253,07/20/2020,,Austria,2021-04-02 15:13:53,19743,711,17659
68998,07/21/2020,,Austria,2021-04-02 15:13:53,19827,710,17716
69743,07/22/2020,,Austria,2021-04-02 15:13:53,19929,711,17849
70488,07/23/2020,,Austria,2021-04-02 15:13:53,20099,711,17943
71233,07/24/2020,,Austria,2021-04-02 15:13:53,20214,711,18042
71978,07/25/2020,,Austria,2021-04-02 15:13:53,20338,712,18124
72723,07/26/2020,,Austria,2021-04-02 15:13:53,20472,712,18209
73468,07/27/2020,,Austria,2021-04-02 15:13:53,20558,713,18246
74213,07/28/2020,,Austria,2021-04-02 15:13:53,20677,713,18379
74959,07/29/2020,,Austria,2021-04-02 15:13:53,20850,716,18528
75705,07/30/2020,,Austria,2021-04-02 15:13:53,20955,718,18628
76451,07/31/2020,,Austria,2021-04-02 15:13:53,21130,718,18758
77197,08/01/2020,,Austria,2021-04-02 15:13:53,21212,718,18911
77943,08/02/2020,,Austria,2021-04-02 15:13:53,21304,718,18984
78689,08/03/2020,,Austria,2021-04-02 15:13:53,21385,718,19063
79435,08/04/2020,,Austria,2021-04-02 15:13:53,21481,719,19336
80181,08/05/2020,,Austria,2021-04-02 15:13:53,21566,719,19464
80927,08/06/2020,,Austria,2021-04-02 15:13:53,21696,719,19596
81673,08/07/2020,,Austria,2021-04-02 15:13:53,21837,720,19690
82419,08/08/2020,,Austria,2021-04-02 15:13:53,21919,721,19812
83165,08/09/2020,,Austria,2021-04-02 15:13:53,22033,721,19923
83911,08/10/2020,,Austria,2021-04-02 15:13:53,22106,723,20010
84657,08/11/2020,,Austria,2021-04-02 15:13:53,22245,723,20123
85402,08/12/2020,,Austria,2021-04-02 15:13:53,22439,724,20268
86147,08/13/2020,,Austria,2021-04-02 15:13:53,22594,725,20346
86892,08/14/2020,,Austria,2021-04-02 15:13:53,22876,725,20499
87637,08/15/2020,,Austria,2021-04-02 15:13:53,23179,728,20627
88382,08/16/2020,,Austria,2021-04-02 15:13:53,23370,728,20681
89127,08/17/2020,,Austria,2021-04-02 15:13:53,23534,729,20765
89872,08/18/2020,,Austria,2021-04-02 15:13:53,23829,729,20870
90617,08/19/2020,,Austria,2021-04-02 15:13:53,24084,729,20958
91362,08/20/2020,,Austria,2021-04-02 15:13:53,24431,729,21093
92107,08/21/2020,,Austria,2021-04-02 15:13:53,24762,730,21260
92852,08/22/2020,,Austria,2021-04-02 15:13:53,25062,732,21406
93597,08/23/2020,,Austria,2021-04-02 15:13:53,25253,732,21558
94342,08/24/2020,,Austria,2021-04-02 15:13:53,25495,733,21657
95087,08/25/2020,,Austria,2021-04-02 15:13:53,25706,733,21888
95832,08/26/2020,,Austria,2021-04-02 15:13:53,26033,733,22145
96577,08/27/2020,,Austria,2021-04-02 15:13:53,26361,733,22317
97322,08/28/2020,,Austria,2021-04-02 15:13:53,26590,733,22594
98067,08/29/2020,,Austria,2021-04-02 15:13:53,26985,733,22866
98812,08/30/2020,,Austria,2021-04-02 15:13:53,27166,733,23070
99557,08/31/2020,,Austria,2021-04-02 15:13:53,27438,733,23226
100302,09/01/2020,,Austria,2021-04-02 15:13:53,27642,734,23565
101047,09/02/2020,,Austria,2021-04-02 15:13:53,27969,734,23820
101792,09/03/2020,,Austria,2021-04-02 15:13:53,28372,735,24171
102537,09/04/2020,,Austria,2021-04-02 15:13:53,28729,735,24513
103282,09/05/2020,,Austria,2021-04-02 15:13:53,29087,735,24828
104027,09/06/2020,,Austria,2021-04-02 15:13:53,29271,736,25043
104772,09/07/2020,,Austria,2021-04-02 15:13:53,29561,746,25300
105517,09/08/2020,,Austria,2021-04-02 15:13:53,30081,747,25629
106262,09/09/2020,,Austria,2021-04-02 15:13:53,30583,747,25764
107007,09/10/2020,,Austria,2021-04-02 15:13:53,31247,748,26043
107752,09/11/2020,,Austria,2021-04-02 15:13:53,31827,750,26257
108497,09/12/2020,,Austria,2021-04-02 15:13:53,32696,754,26579
109242,09/13/2020,,Austria,2021-04-02 15:13:53,33159,756,26760
109987,09/14/2020,,Austria,2021-04-02 15:13:53,33541,757,27010
110732,09/15/2020,,Austria,2021-04-02 15:13:53,34305,757,27354
111477,09/16/2020,,Austria,2021-04-02 15:13:53,35073,758,27655
112222,09/17/2020,,Austria,2021-04-02 15:13:53,35853,758,28044
112967,09/18/2020,,Austria,2021-04-02 15:13:53,36661,763,28451
113712,09/19/2020,,Austria,2021-04-02 15:13:53,37474,765,28961
114457,09/20/2020,,Austria,2021-04-02 15:13:53,38095,766,29229
115202,09/21/2020,,Austria,2021-04-02 15:13:53,38658,767,29516
115948,09/22/2020,,Austria,2021-04-02 15:13:53,39303,771,30312
116694,09/23/2020,,Austria,2021-04-02 15:13:53,39984,777,30949
117440,09/24/2020,,Austria,2021-04-02 15:13:53,40816,783,31661
118186,09/25/2020,,Austria,2021-04-02 15:13:53,41500,786,32301
118932,09/26/2020,,Austria,2021-04-02 15:13:53,42214,787,33154
119678,09/27/2020,,Austria,2021-04-02 15:13:53,42876,787,33589
120424,09/28/2020,,Austria,2021-04-02 15:13:53,43432,790,34052
121170,09/29/2020,,Austria,2021-04-02 15:13:53,44041,796,34916
121916,09/30/2020,,Austria,2021-04-02 15:13:53,44813,799,35644
122662,10/01/2020,,Austria,2021-04-02 15:13:53,45686,802,36476
123408,10/02/2020,,Austria,2021-04-02 15:13:53,46374,803,37186
124154,10/03/2020,,Austria,2021-04-02 15:13:53,47432,809,38045
124900,10/04/2020,,Austria,2021-04-02 15:13:53,48146,813,38629
125646,10/05/2020,,Austria,2021-04-02 15:13:53,48896,818,39058
126392,10/06/2020,,Austria,2021-04-02 15:13:53,49819,822,39790
127138,10/07/2020,,Austria,2021-04-02 15:13:53,50848,830,40499
127884,10/08/2020,,Austria,2021-04-02 15:13:53,52057,838,41289
128630,10/09/2020,,Austria,2021-04-02 15:13:53,53188,842,42039
129376,10/10/2020,,Austria,2021-04-02 15:13:53,54423,852,42829
130122,10/11/2020,,Austria,2021-04-02 15:13:53,55319,851,43448
130868,10/12/2020,,Austria,2021-04-02 15:13:53,56298,855,44065
131615,10/13/2020,,Austria,2021-04-02 15:13:53,57326,861,44949
132362,10/14/2020,,Austria,2021-04-02 15:13:53,58672,872,45846
133109,10/15/2020,,Austria,2021-04-02 15:13:53,60224,877,46798
133856,10/16/2020,,Austria,2021-04-02 15:13:53,61387,882,47618
134603,10/17/2020,,Austria,2021-04-02 15:13:53,63134,889,48771
135350,10/18/2020,,Austria,2021-04-02 15:13:53,64806,893,49561
136097,10/19/2020,,Austria,2021-04-02 15:13:53,65927,904,50359
136844,10/20/2020,,Austria,2021-04-02 15:13:53,67451,914,51407
137591,10/21/2020,,Austria,2021-04-02 15:13:53,69409,925,52617
138338,10/22/2020,,Austria,2021-04-02 15:13:53,71844,941,53970
139085,10/23/2020,,Austria,2021-04-02 15:13:53,74415,954,55195
139832,10/24/2020,,Austria,2021-04-02 15:13:53,78029,965,56791
140579,10/25/2020,,Austria,2021-04-02 15:13:53,80811,979,57858
141326,10/26/2020,,Austria,2021-04-02 15:13:53,83267,992,59036
142073,10/27/2020,,Austria,2021-04-02 15:13:53,86102,1005,60308
142820,10/28/2020,,Austria,2021-04-02 15:13:53,89496,1027,61684
143568,10/29/2020,,Austria,2021-04-02 15:13:53,93949,1056,63366
144316,10/30/2020,,Austria,2021-04-02 15:13:53,99576,1082,64987
145064,10/31/2020,,Austria,2021-04-02 15:13:53,104925,1109,67226
