Name,sum(Population),sum(Deaths),Percent
Alabama,4903185.0,10913.0,0.22256961546423398
Alaska,740995.0,347.0,0.046828925971160396
Arizona,7278717.0,17344.0,0.23828375248000438
Arkansas,3017804.0,5743.0,0.19030394286706492
California,3.9512223E7,61939.0,0.15675908692861953
Colorado,5758736.0,6304.0,0.10946846669130171
Connecticut,3565287.0,8097.0,0.22710654149301301
Delaware,973764.0,1626.0,0.16698091118587255
District of Columbia,705749.0,1106.0,0.15671293901939642
Florida,2.1477737E7,35268.0,0.16420724399409492
Georgia,1.0617423E7,20212.0,0.1903663440742636
Guam,164229.0,136.0,0.08281119656089972
Hawaii,1415872.0,483.0,0.034113253175428286
Idaho,1787065.0,2046.0,0.11448940021767536
Illinois,1.2671821E7,24358.0,0.19222178091057315
Indiana,6732219.0,13349.0,0.19828529048148907
Iowa,3155070.0,5959.0,0.18887061142858955
Kansas,2913314.0,4945.0,0.16973796851283451
Kentucky,4467673.0,6517.0,0.14587012075413755
Louisiana,4648794.0,10382.0,0.22332673807443393
Maine,1344212.0,789.0,0.05869609853207679
Maryland,6045680.0,8776.0,0.14516150375143905
Massachusetts,6892503.0,17621.0,0.25565458585944756
Michigan,9986857.0,18893.0,0.18917863748324423
Minnesota,5639632.0,7253.0,0.1286076822033778
Mississippi,2976149.0,7199.0,0.2418897709758483
Missouri,6626371.0,9148.0,0.13805444941129918
Montana,1068778.0,1574.0,0.14727099547333497
Nebraska,1934408.0,2245.0,0.11605617842771535
Nevada,3080156.0,5464.0,0.17739361253131333
New Hampshire,1359711.0,1305.0,0.09597627731186995
New Jersey,8882190.0,25600.0,0.28821720769314774
New Mexico,2096829.0,4067.0,0.19395954558049322
New York,1.9453561E7,52358.0,0.26914352595907765
North Carolina,1.0488084E7,12651.0,0.1206226037091236
North Dakota,762062.0,1525.0,0.20011495127693021
Northern Mariana Islands,55144.0,2.0,0.0036268678369360224
Ohio,1.16891E7,19284.0,0.1649742067396121
Oklahoma,3956971.0,6788.0,0.17154535628388481
Oregon,4217737.0,2501.0,0.059297201319096
Pennsylvania,1.2801989E7,26237.0,0.20494471601248837
Puerto Rico,3754939.0,2315.0,0.061652133363551305
Rhode Island,1059361.0,2671.0,0.2521331255351103
South Carolina,5148714.0,9520.0,0.1849005402125657
South Dakota,884659.0,1967.0,0.22234555913634518
Tennessee,6829174.0,12197.0,0.17860139454639753
Texas,2.8995881E7,50290.0,0.1734384273407661
Utah,3205958.0,2204.0,0.06874700167625403
Vermont,623989.0,247.0,0.039584031128753874
Virgin Islands,107268.0,27.0,0.02517060073833762
Virginia,8535519.0,10791.0,0.12642464974889048
Washington,7614893.0,5499.0,0.07221375270801572
West Virginia,1792147.0,2686.0,0.14987609833345142
Wisconsin,5822434.0,7567.0,0.12996282997797828
Wyoming,578759.0,707.0,0.12215792756570525
