State,Country,Datapoints
"",Afghanistan,434
"",Albania,420
"",Algeria,433
"",Andorra,427
"",Angola,409
"",Antigua and Barbuda,416
"",Argentina,426
"",Armenia,428
"",Aruba,7
"",Australia,3
Australian Capital Territory,Australia,416
Diamond Princess cruise ship,Australia,12
External territories,Australia,1
From Diamond Princess,Australia,18
Jervis Bay Territory,Australia,1
New South Wales,Australia,462
Northern Territory,Australia,425
Queensland,Australia,459
South Australia,Australia,457
Tasmania,Australia,427
Victoria,Australia,462
Western Australia,Australia,429
"",Austria,432
None,Austria,1
"",Azerbaijan,429
"",Bahamas,407
"","Bahamas, The",3
"",Bahrain,434
"",Bangladesh,421
"",Barbados,412
"",Belarus,430
"",Belgium,282
Antwerp,Belgium,172
Brussels,Belgium,172
East Flanders,Belgium,172
Flemish Brabant,Belgium,172
Hainaut,Belgium,172
Liege,Belgium,172
Limburg,Belgium,172
Luxembourg,Belgium,172
Namur,Belgium,172
Unknown,Belgium,172
Walloon Brabant,Belgium,172
West Flanders,Belgium,172
"",Belize,406
"",Benin,413
"",Bhutan,423
"",Bolivia,418
"",Bosnia and Herzegovina,424
"",Botswana,399
"",Brazil,85
Acre,Brazil,348
Alagoas,Brazil,348
Amapa,Brazil,348
Amazonas,Brazil,348
Bahia,Brazil,348
Ceara,Brazil,348
Distrito Federal,Brazil,348
Espirito Santo,Brazil,348
Goias,Brazil,348
Maranhao,Brazil,348
Mato Grosso,Brazil,348
Mato Grosso do Sul,Brazil,348
Minas Gerais,Brazil,348
Para,Brazil,348
Paraiba,Brazil,348
Parana,Brazil,348
Pernambuco,Brazil,348
Piaui,Brazil,348
Rio Grande do Norte,Brazil,348
Rio Grande do Sul,Brazil,348
Rio de Janeiro,Brazil,348
Rondonia,Brazil,348
Roraima,Brazil,348
Santa Catarina,Brazil,348
Sao Paulo,Brazil,348
Sergipe,Brazil,348
Tocantins,Brazil,348
Unknown,Brazil,19
"",Brunei,420
"",Bulgaria,421
"",Burkina Faso,419
"",Burma,402
"",Burundi,398
"",Cabo Verde,409
"",Cambodia,462
"",Cameroon,423
"Montreal, QC",Canada,10
Alberta,Canada,420
British Columbia,Canada,461
"Calgary, Alberta",Canada,3
Diamond Princess cruise ship,Canada,395
"Edmonton, Alberta",Canada,2
Grand Princess,Canada,409
"London, ON",Canada,34
Manitoba,Canada,416
