Country,MonthlyNewCases,MonthlyNewDeaths,Percent
Afghanistan,59570.0,2621.0,4.4
Albania,130842.0,2379.0,1.818
Algeria,121392.0,3209.0,2.644
Andorra,12856.0,113.0,0.879
Angola,26645.0,594.0,2.229
Antigua and Barbuda,1225.0,32.0,2.612
Argentina,2976309.0,63838.0,2.145
Armenia,215532.0,4105.0,1.905
Australia,25252.0,892.0,3.532
Austria,608690.0,10077.0,1.656
Azerbaijan,318811.0,4512.0,1.415
Bahamas,10439.0,199.0,1.906
Bahrain,176367.0,642.0,0.364
Bangladesh,759081.0,11445.0,1.508
Barbados,3821.0,44.0,1.152
Belarus,358586.0,2541.0,0.709
Belgium,977454.0,23525.0,2.407
Belize,12665.0,323.0,2.55
Benin,7812.0,99.0,1.267
Bhutan,1070.0,1.0,0.093
Bolivia,303625.0,12945.0,4.263
Bosnia and Herzegovina,198041.0,8538.0,4.311
Botswana,46930.0,711.0,1.515
Brazil,1.4653294E7,403580.0,2.754
Brunei,95.0,2.0,2.105
Bulgaria,403981.0,16391.0,4.057
Burkina Faso,13049.0,143.0,1.096
Burma,142802.0,3208.0,2.246
Burundi,3993.0,6.0,0.15
Cabo Verde,23876.0,216.0,0.905
Cambodia,13293.0,93.0,0.7
Cameroon,72057.0,1101.0,1.528
Canada,1219840.0,24068.0,1.973
Central African Republic,6408.0,88.0,1.373
Chad,4810.0,170.0,3.534
Chile,1195507.0,26341.0,2.203
China,9147.0,1331.0,14.551
Colombia,2858818.0,73704.0,2.578
Comoros,3833.0,146.0,3.809
Congo (Brazzaville),10659.0,144.0,1.351
Congo (Kinshasa),29755.0,758.0,2.547
Costa Rica,250644.0,3229.0,1.288
Croatia,331316.0,7075.0,2.135
Cuba,106521.0,638.0,0.599
Cyprus,64971.0,300.0,0.462
Czech Republic,1627450.0,29236.0,1.796
Denmark,248210.0,2394.0,0.965
Diamond Princess,0.0,3.0,""
Djibouti,11070.0,143.0,1.292
Dominica,162.0,0.0,0.0
Dominican Republic,265452.0,3429.0,1.292
Ecuador,379622.0,18556.0,4.888
Egypt,226842.0,13293.0,5.86
El Salvador,69166.0,2123.0,3.069
Equatorial Guinea,7682.0,112.0,1.458
Eritrea,3656.0,10.0,0.274
Estonia,121274.0,1157.0,0.954
Eswatini,18449.0,671.0,3.637
Ethiopia,257416.0,3688.0,1.433
Fiji,112.0,2.0,1.786
Finland,85390.0,897.0,1.05
France,5625557.0,101149.0,1.798
Gabon,23059.0,138.0,0.598
Gambia,5894.0,173.0,2.935
Georgia,310200.0,4110.0,1.325
Germany,3333557.0,82322.0,2.469
Ghana,92401.0,774.0,0.838
Greece,343719.0,10332.0,3.006
Grenada,151.0,1.0,0.662
Guatemala,227633.0,7523.0,3.305
Guinea,22193.0,144.0,0.649
Guinea-Bissau,3726.0,67.0,1.798
Guyana,13271.0,294.0,2.215
Haiti,13041.0,254.0,1.948
Holy See,21.0,0.0,0.0
Honduras,212192.0,5274.0,2.485
Hong Kong,11060.0,205.0,1.854
Hungary,778856.0,27524.0,3.534
Iceland,5337.0,27.0,0.506
India,1.9163572E7,211818.0,1.105
Indonesia,1666840.0,45385.0,2.723
Iran,2454472.0,68860.0,2.805
Iraq,1064505.0,15415.0,1.448
Ireland,245635.0,4832.0,1.967
Israel,832764.0,6342.0,0.762
Italy,3916861.0,108379.0,2.767
Ivory Coast,45857.0,285.0,0.621
Jamaica,45542.0,777.0,1.706
Japan,591311.0,10143.0,1.715
Jordan,711099.0,8831.0,1.242
Kazakhstan,375196.0,3332.0,0.888
Kenya,159259.0,2723.0,1.71
Kosovo,103526.0,2133.0,2.06
Kuwait,273702.0,1563.0,0.571
Kyrgyzstan,95168.0,1604.0,1.685
Laos,748.0,0.0,0.0
Latvia,118160.0,2131.0,1.803
Lebanon,526108.0,7266.0,1.381
Lesotho,10729.0,316.0,2.945
Liberia,2096.0,85.0,4.055
Libya,177498.0,3029.0,1.706
Liechtenstein,2858.0,57.0,1.994
Lithuania,246801.0,3919.0,1.588
Luxembourg,65027.0,773.0,1.189
MS Zaandam,7.0,2.0,28.571
Macau,8.0,0.0,0.0
Madagascar,36957.0,643.0,1.74
Malawi,34041.0,1145.0,3.364
Malaysia,405947.0,1463.0,0.36
Maldives,29817.0,73.0,0.245
Mali,13830.0,482.0,3.485
Malta,30123.0,413.0,1.371
Marshall Islands,2.0,0.0,0.0
Mauritania,18396.0,454.0,2.468
Mauritius,1066.0,12.0,1.126
Mexico,2343661.0,216879.0,9.254
Micronesia,0.0,0.0,""
Moldova,250484.0,5808.0,2.319
Monaco,2402.0,31.0,1.291
Mongolia,37273.0,115.0,0.309
Montenegro,97280.0,1493.0,1.535
Morocco,510632.0,8987.0,1.76
Mozambique,69909.0,814.0,1.164
Namibia,48340.0,642.0,1.328
Nepal,323182.0,3279.0,1.015
Netherlands,1510306.0,16358.0,1.083
New Zealand,1966.0,25.0,1.272
Nicaragua,6893.0,181.0,2.626
Niger,5201.0,188.0,3.615
Nigeria,164975.0,2061.0,1.249
North Macedonia,152038.0,4846.0,3.187
Norway,108329.0,717.0,0.662
Oman,193061.0,2009.0,1.041
Pakistan,823581.0,17931.0,2.177
Panama,363395.0,6202.0,1.707
Papua New Guinea,10996.0,107.0,0.973
Paraguay,279012.0,6382.0,2.287
Peru,1798380.0,61447.0,3.417
Philippines,1035376.0,17146.0,1.656
Poland,2789831.0,67469.0,2.418
Portugal,829050.0,16814.0,2.028
Qatar,204871.0,456.0,0.223
Romania,1053020.0,28027.0,2.662
Russia,4748418.0,108273.0,2.28
Rwanda,25041.0,335.0,1.338
Saint Kitts and Nevis,36.0,0.0,0.0
Saint Lucia,4539.0,74.0,1.63
Saint Vincent and the Grenadines,1863.0,11.0,0.59
Samoa,3.0,0.0,0.0
San Marino,4830.0,64.0,1.325
Sao Tome and Principe,2288.0,35.0,1.53
Saudi Arabia,415800.0,6947.0,1.671
Senegal,40169.0,1107.0,2.756
Serbia,688657.0,6346.0,0.922
Seychelles,5863.0,28.0,0.478
Sierra Leone,4053.0,79.0,1.949
Singapore,60219.0,27.0,0.045
Slovakia,381848.0,11684.0,3.06
Slovenia,239490.0,4235.0,1.768
Solomon Islands,12.0,0.0,0.0
Somalia,13910.0,713.0,5.126
South Africa,1579857.0,54345.0,3.44
South Korea,112848.0,1669.0,1.479
South Sudan,10548.0,115.0,1.09
Spain,3428154.0,69752.0,2.035
Sri Lanka,108003.0,676.0,0.626
Sudan,33937.0,2347.0,6.916
Suriname,10354.0,204.0,1.97
Sweden,969169.0,13868.0,1.431
Switzerland,643369.0,10199.0,1.585
Syria,22723.0,1590.0,6.997
Taiwan,806.0,7.0,0.868
Tajikistan,13293.0,90.0,0.677
Tanzania,490.0,20.0,4.082
Thailand,63502.0,193.0,0.304
Timor-Leste,2275.0,3.0,0.132
Togo,12933.0,122.0,0.943
Trinidad and Tobago,10737.0,166.0,1.546
Tunisia,308725.0,10712.0,3.47
Turkey,4807060.0,39917.0,0.83
UK,4406765.0,125982.0,2.859
US,3.2158554E7,572326.0,1.78
Uganda,41822.0,342.0,0.818
Ukraine,2123425.0,45906.0,2.162
United Arab Emirates,519572.0,1581.0,0.304
Uruguay,198090.0,2615.0,1.32
Uzbekistan,90636.0,647.0,0.714
Vanuatu,3.0,1.0,33.333
Venezuela,197548.0,2133.0,1.08
Vietnam,2716.0,35.0,1.289
West Bank and Gaza,296343.0,3248.0,1.096
Yemen,6311.0,1224.0,19.395
Zambia,91551.0,1251.0,1.366
Zimbabwe,38249.0,1566.0,4.094
